,date,map,o_player1,o_player1_agent,o_player2,o_player2_agent,o_player3,o_player3_agent,o_player4,o_player4_agent,o_player5,o_player5_agent,o_team,player1,player1_agent,player2,player2_agent,player3,player3_agent,player4,player4_agent,player5,player5_agent,result,team
4054,12-03-21,Bind,Shiro,sova,Rapheleen,raze,RIZKYMD,omen,heyNF,killjoy,SEVERiNE,phoenix,ONIC,hzm,jett,RayK47,sova,huliolio,skye,6ftdeep,killjoy,Monas,brimstone,Lose,S8V
4055,12-03-21,Split,heyNF,raze,Rapheleen,sage,Shiro,jett,SEVERiNE,killjoy,RIZKYMD,omen,ONIC,huliolio,skye,hzm,jett,6ftdeep,cypher,Monas,omen,RayK47,raze,Lose,S8V
4056,07-03-21,Ascent,PwJ,sova,xccurate,jett,FErrr,raze,muLyoNO,killjoy,BRAINDEAD,omen,VVV,SkellingToN,sova,nevetzzz,reyna,mzkiohehe,jett,Mott,omen,GatotKaca,killjoy,Lose,GOLD
4057,07-03-21,Split,KyzeN,jett,womGrath,omen,NotWibu,sage,LFrog,cypher,Insane,raze,WAY,Nay,jett,Famouz,sage,Fat Penguin,omen,Fidelwow,breach,xø,killjoy,Win,BTR
4058,07-03-21,Ascent,Cartier,jett,xray,sova,zoomey,phoenix,renZ,cypher,Maht,omen,AR,muLyoNO,killjoy,xccurate,jett,PwJ,sova,FErrr,breach,BRAINDEAD,omen,Win,VVV
4059,07-03-21,Split,xray,sage,Cartier,jett,zoomey,phoenix,renZ,omen,Maht,cypher,AR,BRAINDEAD,brimstone,muLyoNO,killjoy,PwJ,viper,xccurate,jett,FErrr,breach,Lose,VVV
4060,07-03-21,Haven,xray,sova,zoomey,phoenix,Maht,cypher,Cartier,jett,renZ,omen,AR,PwJ,sova,xccurate,jett,muLyoNO,killjoy,BRAINDEAD,omen,FErrr,phoenix,Lose,VVV
4061,07-03-21,Split,Monas,omen,hzm,jett,RayK47,raze,6ftdeep,cypher,huliolio,skye,S8V,nevetzzz,sage,Mott,raze,mzkiohehe,jett,SkellingToN,killjoy,GatotKaca,omen,Lose,GOLD
4062,07-03-21,Haven,6ftdeep,reyna,hzm,jett,RayK47,sova,huliolio,breach,Monas,omen,S8V,mzkiohehe,jett,SkellingToN,sova,Mott,omen,nevetzzz,reyna,GatotKaca,killjoy,Lose,GOLD
4063,07-03-21,Bind,NotWibu,raze,womGrath,sova,Insane,phoenix,LFrog,killjoy,KyzeN,omen,WAY,Revzzy,jett,AQUA,brimstone,DHITO,sova,haydeNN,raze,ATOMIC,killjoy,Lose,EX-A
4064,07-03-21,Haven,KyzeN,jett,Insane,raze,NotWibu,omen,LFrog,killjoy,womGrath,sova,WAY,Revzzy,jett,AQUA,omen,ATOMIC,cypher,DHITO,sova,haydeNN,sage,Win,EX-A
4065,07-03-21,Split,NotWibu,sage,LFrog,cypher,KyzeN,jett,womGrath,omen,Insane,raze,WAY,DHITO,raze,Revzzy,jett,AQUA,omen,haydeNN,sage,ATOMIC,cypher,Win,EX-A
4066,07-03-21,Haven,Famouz,raze,Fidelwow,cypher,Nay,phoenix,Fat Penguin,omen,xø,sova,BTR,Rapheleen,phoenix,Shiro,sova,SEVERiNE,killjoy,RIZKYMD,omen,heyNF,jett,Win,ONIC
4067,07-03-21,Split,Famouz,raze,Fidelwow,sage,Nay,jett,Fat Penguin,omen,xø,killjoy,BTR,heyNF,raze,Rapheleen,sage,RIZKYMD,omen,Shiro,jett,SEVERiNE,killjoy,Win,ONIC
4068,06-03-21,Ascent,xray,sova,Cartier,jett,renZ,cypher,zoomey,phoenix,Maht,omen,AR,joi,killjoy,Blazz,sova,Kyz3e,reyna,roserade,jett,muradjE,omen,Lose,THIE
4069,06-03-21,Haven,666z,jett,tovaa,omen,Rinoh,reyna,VODKAMACHINE97,sova,JavaaaaaaID,killjoy,RE:F,Revzzy,jett,DHITO,sova,ATOMIC,cypher,haydeNN,sage,AQUA,omen,Win,EX-A
4070,06-03-21,Ascent,NotWibu,raze,Insane,phoenix,KyzeN,omen,LFrog,killjoy,womGrath,sova,WAY,uppercut,reyna,crouzgod,breach,Lapyuu,brimstone,wndrlvst,killjoy,Prynocchio,jett,Lose,PAND
4071,06-03-21,Haven,M1ck,jett,rdb,reyna,jer,sova,DeLtaZ,cypher,Raimonster,omen,ESTE,Fat Penguin,omen,Nay,phoenix,Famouz,raze,Fidelwow,cypher,xø,sova,Win,BTR
4072,06-03-21,Ascent,xccurate,jett,PwJ,sova,muLyoNO,killjoy,BRAINDEAD,omen,FErrr,breach,VVV,zhar,killjoy,Ezzy,sova,Delhas,jett,MBakuhantam,omen,Freakz,reyna,Lose,DG E
4073,06-03-21,Split,Zyen,reyna,lacoste,omen,Def J,sova,Lipgloss,jett,aloclair,killjoy,BYE,RayK47,raze,6ftdeep,cypher,hzm,jett,huliolio,skye,Monas,omen,Win,S8V
4074,06-03-21,Ascent,Despairs,phoenix,Sattrick,omen,Zephyr,jett,ENVY,sova,JAY,killjoy,QUAD,SkellingToN,sova,mzkiohehe,jett,nevetzzz,reyna,Mott,omen,GatotKaca,killjoy,Win,GOLD
4075,06-03-21,Ascent,Rapheleen,phoenix,heyNF,raze,Shiro,sova,SEVERiNE,killjoy,RIZKYMD,omen,ONIC,LyraG,reyna,cashmere,killjoy,ZneKai,omen,Intenzzz,jett,Nummereins,sova,Lose,RÊV
4076,02-03-21,Split,giuden51,reyna,FakeAnanas,raze,Epzz,sage,Izzy,killjoy,Spolen,omen,7AM,AKUMAAAAA,breach,hoppY,omen,logaN,killjoy,TakaS,jett,rodeN,raze,Win,DFUSE
4077,02-03-21,Bind,Izzy,killjoy,giuden51,raze,Epzz,sova,Spolen,brimstone,FakeAnanas,skye,7AM,logaN,killjoy,TakaS,raze,rodeN,sova,hoppY,brimstone,AKUMAAAAA,breach,Win,DFUSE
4078,02-03-21,Bind,otom,yoru,frei,cypher,rCk,sova,LATEKS,brimstone,Luzuh,raze,RIX,BoomCS,omen,Red,sova,louitan,raze,Jono,sage,Easy,cypher,Lose,IC9
4079,02-03-21,Ascent,otom,phoenix,frei,cypher,rCk,sova,LATEKS,omen,Luzuh,jett,RIX,BoomCS,omen,Easy,killjoy,Red,sova,louitan,raze,Jono,sage,Lose,IC9
4080,02-03-21,Ascent,Zarose,killjoy,Blex,phoenix,Algoda,sova,våfflaN,jett,melkerolle,omen,PRIM,Polvi,jett,H1ber,raze,Mukke,omen,ZIGITARES,killjoy,Kevyt,sova,Lose,ANIM
